,Restaurante,Nota,Tipo de comida,Distancia,Tempo,Preco do Frete
0,Gokei - Carrão,4.6,Japonesa,0.9,59-69 min,0.0
1,Pikurruchas Tatuapé,4.7,Doces & Bolos,2.3,34-44 min,6.99
2,Mussa Esfiha - Anália Franco,4.7,Árabe,2.1,23-33 min,7.99
3,Sassá Sushi - Tatuapé,4.4,Japonesa,3.8,41-51 min,10.49
4,Meats - Anália Franco,4.7,Lanches,2.6,22-32 min,6.99
5,American Burger Delivery,4.7,Lanches,5.0,39-49 min,10.49
6,Purana ZL,4.7,Saudável,5.0,47-57 min,12.49
7,Eataly Restaurantes.,4.7,Italiana,8.2,37-47 min,19.99
8,Andiamo Ristorante - Center Norte,4.7,Italiana,9.5,100-110 min,22.99
9,Zé do Hamburger - Mooca,4.9,Lanches,5.0,37-47 min,11.49
10,Olive Garden - Shopping Aricanduva,4.6,Italiana,3.7,34-44 min,10.99
11,Gendai Anália Franco,4.4,Japonesa,2.6,30-40 min,0.0
12,Outback Steakhouse - Anália Franco,4.7,Lanches,2.8,60-70 min,11.9
13,Bacio Di Latte: Gelato Puro - Tatuapé,4.8,Sorvetes,3.1,18-28 min,8.99
14,Divino Fogão - Shopping Penha,4.5,Brasileira,3.2,53-63 min,6.99
15,Sushi Garden One - Tatuapé,4.7,Japonesa,3.1,21-31 min,0.0
16,X- Lanches Carrão,4.6,Lanches,0.6,35-45 min,0.0
17,Ligia Refeições Tatuapé,4.6,Brasileira,2.2,50-60 min,0.0
18,Montana Grill - Analia Franco,4.4,Brasileira,2.8,40-50 min,7.99
19,O Rei da Feijoada Tatuapé,4.5,Brasileira,2.4,60-70 min,7.0
20,Coco Bambu - Anália Franco,4.4,Frutos Do Mar,2.2,55-65 min,0.0
21,Casa Napoles Padaria,4.7,Padaria,2.0,25-35 min,6.99
22,Popeyes - Shopping Center Penha,4.7,Lanches,3.2,37-47 min,8.99
23,Golden Burger Aricanduva,4.4,Lanches,1.1,20-30 min,4.0
24,Ideal Padaria,4.8,Padaria,1.8,25-35 min,4.99
25,Taco Bell - Shopping Anália Franco,4.6,Lanches,2.7,35-45 min,6.99
26,China in Box - Vila Carrão,4.5,Chinesa,0.9,59-69 min,5.0
27,Mania de Churrasco - Anália Franco Shop,4.6,Brasileira,2.6,55-65 min,6.99
28,O Frangão Delivery,4.7,Brasileira,3.6,60-70 min,0.0
29,A Feijoada - Zona Leste,4.6,Brasileira,4.0,20-30 min,7.9
30,Redbone® Burger,4.7,Lanches,2.2,25-35 min,5.99
31,Chico Restaurante,4.7,Brasileira,2.7,40-50 min,8.0
32,Varandas Grill Marmitex,4.6,Brasileira,1.3,50-60 min,3.0
33,Kibon Sorveteria - Tatuapé,4.9,Sorvetes,3.4,16-26 min,7.99
34,República dos Camarões,4.8,Frutos Do Mar,2.5,60-70 min,6.0
35,Lig-Lig - Vila Formosa,4.6,Chinesa,2.2,19-29 min,0.0
36,Divina Panqueca - Tatuapé,4.7,Brasileira,2.9,32-42 min,6.99
37,Sodiê Doces - São Paulo Vl. Matilde,4.8,Doces & Bolos,1.8,36-46 min,9.0
38,Açaí do Monge Jd Sta Maria,4.7,Açaí,2.8,39-49 min,0.0
39,Harumi Tatuapé,4.8,Japonesa,3.5,31-41 min,8.99
40,Boizão Grill Analia Franco,4.6,Carnes,2.8,27-37 min,7.99
41,Marcão Grill Marmitex - Vila Matilde,4.7,Brasileira,1.3,50-60 min,3.0
42,Pastel do Japa,4.7,Pastel,0.3,25-35 min,4.49
43,Tubarão do Açai Energy Food,4.8,Lanches,0.9,60-70 min,4.9
44,Kazuya Sushi,4.6,Japonesa,0.3,20-30 min,0.0
45,Sushi Uau Delivery Food,4.5,Japonesa,1.8,30-40 min,0.0
46,Casa do Pastel Carrão - Delivery,4.8,Pastel,3.2,31-41 min,6.99
47,The Fifties - Shopping Anália Franco,4.3,Lanches,2.7,43-53 min,8.99
48,Lanchonete Salsichão,4.9,Lanches,1.1,55-65 min,4.0
49,Jeronimo - Penha,4.5,Lanches,3.2,85-95 min,11.0
50,Temakeria Paulista,4.8,Japonesa,3.3,26-36 min,9.99
51,Esfiharia e Pizzaria Victoriana,4.4,Pizza,1.1,35-45 min,4.99
52,Frutaria Pitaya,4.7,Saudável,3.8,45-55 min,4.9
53,Restaurante Requinte,4.7,Brasileira,0.2,60-70 min,2.0
54,Patroni - Shopping Center Penha,4.8,Pizza,3.2,34-44 min,7.99
55,Poke Garden - Tatuapé,4.8,Saudável,3.1,24-34 min,0.0
56,Abbraccio - Anália Franco,4.7,Italiana,2.8,50-60 min,11.9
57,Gouveia Restaurante,4.4,Brasileira,2.5,40-50 min,2.99
58,Almanara Cozinha Árabe - Af,4.6,Árabe,2.9,38-48 min,8.99
59,Fabrick Burger,4.7,Lanches,2.9,38-48 min,0.0
60,Fabrick Burger,4.7,Lanches,2.9,38-48 min,0.0
61,Sushi Carrão,4.8,Japonesa,1.9,66-76 min,2.99
62,Cão Veio Tatuapé,4.7,Lanches,3.1,33-43 min,9.99
63,Bolo da Madre - Tatuapé,4.8,Doces & Bolos,3.0,31-41 min,7.99
64,Mineiro Delivery - SP Tatuapé,4.6,Brasileira,3.5,55-65 min,5.0
65,Nine Nine Burger,4.9,Lanches,3.6,45-55 min,0.0
66,Rei dos Donuts,4.8,Doces & Bolos,2.0,25-35 min,5.99
67,Esquina do a Parmegiana,4.5,Brasileira,1.1,35-45 min,4.99
68,Imperadores dos Salgados,4.9,Salgados,2.5,40-50 min,0.0
69,Boi Gaúcho II,4.7,Brasileira,4.2,39-49 min,9.49
70,Condimento,4.6,Brasileira,3.1,60-70 min,9.99
71,Renda de Açúcar,4.9,Doces & Bolos,3.1,30-40 min,7.99
72,Requinte Pães e Doces,4.8,Padaria,3.2,27-37 min,7.99
73,Si Señor Tatuapé,4.7,Mexicana,3.3,37-47 min,9.99
74,Delifruit Sorvetes e Açaí,4.9,Açaí,2.2,18-28 min,5.99
75,Bob's - Shopping Aricanduva I,4.7,Lanches,3.5,35-45 min,8.49
76,Ayumi Sushi Prime,4.6,Japonesa,2.7,55-65 min,3.99
77,Estação Granada Burguer e Mini Salgados,4.8,Lanches,3.9,32-42 min,0.0
78,Pizza Crek - Tatuapé,4.5,Pizza,3.0,35-45 min,0.0
79,Kauai Poke,4.8,Japonesa,3.9,25-35 min,10.99
80,Ponto da Esfiha Dona Matilde,4.5,Lanches,1.8,39-49 min,4.99
81,Magic Chicken Aricanduva,4.5,Variada,1.8,50-60 min,7.0
